window,packet_rate,byte_rate,connection_count,avg_syn_flags,avg_duration,Label_num,packet_rate_lag1,byte_rate_lag1,packet_rate_lag2,byte_rate_lag2,packet_rate_lag3,byte_rate_lag3
2017-07-04 09:56:00,68558.30961078942,1242180.357171556,1674,0.0890083632019115,14261871.460573476,3,68558.30961078942,1242180.357171556,68558.30961078942,1242180.357171556,68558.30961078942,1242180.357171556
2017-07-04 09:57:00,56272.69919997369,1086572.9099541828,1503,0.083166999334664,14203440.496340653,3,68558.30961078942,1242180.357171556,56272.69919997369,1086572.9099541828,56272.69919997369,1086572.9099541828
2017-07-04 09:58:00,54905.58194310124,682847.9266431248,2182,0.0678276810265811,9953415.236480294,3,56272.69919997369,1086572.9099541828,68558.30961078942,1242180.357171556,54905.58194310124,682847.9266431248
2017-07-04 09:59:00,78741.51682410839,677002.1874602999,928,0.1454741379310344,7038980.100215517,3,54905.58194310124,682847.9266431248,56272.69919997369,1086572.9099541828,68558.30961078942,1242180.357171556
2017-07-04 10:00:00,62035.97016603347,896506.5882393771,1679,0.0893388921977367,9934142.584276356,3,78741.51682410839,677002.1874602999,54905.58194310124,682847.9266431248,56272.69919997369,1086572.9099541828
2017-07-04 10:01:00,52973.48071709794,814057.2496959572,1184,0.09375,10348699.733108109,3,62035.97016603347,896506.5882393771,78741.51682410839,677002.1874602999,54905.58194310124,682847.9266431248
2017-07-04 10:02:00,75221.84978089533,1445592.4426900356,691,0.1490593342981186,7862006.565846599,3,52973.48071709794,814057.2496959572,62035.97016603347,896506.5882393771,78741.51682410839,677002.1874602999
2017-07-04 10:03:00,62084.35776066388,1028296.0724852654,1285,0.1089494163424124,12015292.441245137,3,75221.84978089533,1445592.4426900356,52973.48071709794,814057.2496959572,62035.97016603347,896506.5882393771
2017-07-04 10:04:00,42310.78991764351,619328.5857786749,1979,0.0682162708438605,10269601.67963618,3,62084.35776066388,1028296.0724852654,75221.84978089533,1445592.4426900356,52973.48071709794,814057.2496959572
2017-07-04 10:05:00,85679.88051302475,3703090.149952892,773,0.1448900388098318,7007715.02457956,3,42310.78991764351,619328.5857786749,62084.35776066388,1028296.0724852654,75221.84978089533,1445592.4426900356
